iter	Passed	Remaining
0	45	45764
1	73	36451
2	100	33238
3	128	32074
4	157	31375
5	186	30964
6	214	30467
7	243	30239
8	271	29840
9	300	29793
10	329	29612
11	357	29414
12	387	29419
13	425	29969
14	455	29909
15	484	29806
16	513	29673
17	542	29610
18	573	29636
19	604	29642
20	633	29524
21	661	29427
22	690	29332
23	720	29313
24	757	29534
25	792	29685
26	836	30157
27	869	30201
28	897	30050
29	941	30444
30	975	30480
31	1004	30388
32	1033	30276
33	1063	30217
34	1095	30215
35	1124	30117
36	1153	30021
37	1184	29989
38	1211	29847
39	1243	29839
40	1274	29816
41	1302	29720
42	1329	29590
43	1358	29512
44	1391	29534
45	1422	29510
46	1456	29533
47	1491	29581
48	1526	29633
49	1556	29566
50	1584	29491
51	1618	29498
52	1650	29497
53	1677	29382
54	1705	29306
55	1736	29277
56	1765	29215
57	1792	29117
58	1820	29037
59	1851	29009
60	1879	28938
61	1905	28822
62	1933	28757
63	1962	28702
64	1988	28608
65	2016	28542
66	2048	28526
67	2077	28468
68	2102	28366
69	2131	28320
70	2161	28286
71	2196	28310
72	2222	28226
73	2249	28148
74	2278	28096
75	2306	28036
76	2333	27972
77	2361	27919
78	2388	27849
79	2420	27834
80	2456	27866
81	2493	27918
82	2525	27902
83	2554	27853
84	2583	27808
85	2613	27772
86	2639	27702
87	2676	27734
88	2701	27647
89	2728	27590
90	2754	27512
91	2784	27486
92	2813	27441
93	2840	27382
94	2871	27355
95	2900	27308
96	2929	27270
97	2956	27212
98	2982	27142
99	3014	27131
100	3041	27076
101	3068	27011
102	3095	26960
103	3126	26933
104	3152	26872
105	3179	26812
106	3206	26762
107	3233	26706
108	3259	26642
109	3289	26613
110	3315	26556
111	3345	26524
112	3374	26485
113	3401	26436
114	3429	26393
115	3462	26384
116	3490	26340
117	3519	26306
118	3544	26239
119	3575	26216
120	3601	26164
121	3625	26094
122	3653	26046
123	3686	26041
124	3713	25992
125	3739	25938
126	3765	25884
127	3792	25837
128	3819	25786
129	3844	25727
130	3870	25676
131	3895	25617
132	3924	25584
133	3951	25539
134	3976	25481
135	4005	25448
136	4031	25398
137	4057	25345
138	4083	25297
139	4114	25273
140	4141	25227
141	4167	25183
142	4193	25130
143	4222	25101
144	4253	25078
145	4280	25039
146	4305	24986
147	4334	24951
148	4362	24913
149	4390	24880
150	4420	24857
151	4450	24830
152	4479	24799
153	4506	24758
154	4537	24738
155	4567	24713
156	4595	24674
157	4620	24622
158	4647	24580
159	4673	24533
160	4702	24504
161	4729	24463
162	4756	24424
163	4782	24380
164	4811	24351
165	4836	24300
166	4863	24261
167	4889	24213
168	4919	24190
169	4951	24174
170	4978	24134
171	5003	24088
172	5035	24071
173	5062	24034
174	5090	23997
175	5115	23950
176	5143	23913
177	5169	23873
178	5195	23830
179	5221	23788
180	5247	23742
181	5278	23725
182	5307	23696
