iter	RMSE
0	58.0641818
1	55.65297237
2	53.63228387
3	51.84521611
4	50.26987708
5	48.83506133
6	47.61594275
7	46.54730179
8	45.63062043
9	44.81448522
10	44.19906722
11	43.65414894
12	43.09638111
13	42.64833711
14	42.2179506
15	41.87521029
16	41.53666516
17	41.23884508
18	40.97154802
19	40.77201519
20	40.54270794
21	40.3518869
22	40.18393192
23	40.02988779
24	39.88531161
25	39.73061369
26	39.59452483
27	39.47658939
28	39.38018819
29	39.30014501
30	39.19241996
31	39.08321737
32	39.00764887
33	38.94354671
34	38.87456291
35	38.78070113
36	38.72380794
37	38.6623256
38	38.61234024
39	38.55393918
40	38.47868435
41	38.43782612
42	38.39439851
43	38.34613511
44	38.32036997
45	38.26120783
46	38.21628248
47	38.1854937
48	38.12272816
49	38.055216
50	38.03580493
51	38.01101226
52	37.96329614
53	37.89065231
54	37.85591833
55	37.81424065
56	37.735565
57	37.69916588
58	37.66104969
59	37.62454238
60	37.59479423
61	37.54906798
62	37.47472669
63	37.43289112
64	37.39050866
65	37.35724267
66	37.30111684
67	37.26371015
68	37.23970016
69	37.19587501
70	37.12293254
71	37.08844284
72	37.04857118
73	37.02572468
74	37.00347531
75	36.9700727
76	36.92850478
77	36.90058638
78	36.86560572
79	36.86368294
80	36.83888374
81	36.81355364
82	36.78957852
83	36.73512621
84	36.72003578
85	36.69439125
86	36.63762504
87	36.60534941
88	36.58012397
89	36.53369804
90	36.49163346
91	36.46348219
92	36.44256076
93	36.41101317
94	36.38903479
95	36.37021543
96	36.34111691
97	36.31805523
98	36.2809255
99	36.25991595
