iter	Passed	Remaining
0	546	545800
1	140	69937
2	174	57866
3	228	56866
4	247	49343
5	264	43739
6	2996	794	17	391	7	804	8	413	45559
9	419	41482
10	424	38163
11	451	37177
12	53612	969	73601
13	974	14	576	37831
15	61115	1057	65039
16	10617	785	42866
18	793	40946
19	825	40440
20	835	38970
21	853	37932
22	869	36916
23	874	35563
24	1006	39239
25	1016	38076
26	1021	36816
27	1026	35650
28	1087	36404
29	1092	35325
30	1149	35937
31	1152	34867
32	1157	33926
33	1207	34307
34	1223	33724
35	1227	32867
36	1236	32193
37	1390	35209
38	1399	34496
39	1405	33722
40	1544	36135
41	1573	35897
42	1625	36177
43	1632	35472
44	1639	34795
45	1688	35022
46	1698	34448
47	1702	33764
48	1792	34792
49	1795	34121
50	1839	34225
51	1842	33592
52	1873	33481
53	1879	32931
54	1892	32512
55	1902	32071
56	1969	32587
57	2088	33918
58	2092	33365
59	2095	32827
60	2099	32322
61	2141	32406
62	2149	31973
63	2170	31740
64	2178	31331
65	2232	31587
66	2249	31320
67	2263	31018
68	2268	30609
69	2279	30280
70	2323	30402
71	2327	29999
72	2348	29817
73	2369	29656
74	2381	29365
75	2390	29058
76	2395	28710
77	2422	28636
78	2447	28537
79	2472	28431
80	2484	28189
81	2515	28162
82	2525	27898
83	2531	27608
84	2564	27604
85	2577	27397
86	2601	27295
87	2605	26998
88	2619	26810
89	2625	26542
90	2638	26359
91	2672	26374
92	2677	26113
93	2682	25856
94	2688	25613
95	2698	25407
96	2713	25257
97	2745	25272
98	2750	25035
99	2761	24851
100	2804	24964
101	2812	24764
102	2824	24594
103	2836	24437
104	2863	24405
105	2871	24214
106	2879	24033
107	2908	24023
108	2918	23854
109	2943	23816
110	2951	23635
111	2972	23571
112	2988	23458
113	3002	23338
114	3028	23309
115	3035	23131
116	3057	23072
117	3064	22902
118	3115	23068
119	3121	22894
120	3137	22793
121	3153	22697
122	3157	22515
123	3163	22345
124	3168	22179
125	3205	22233
126	3210	22066
127	3222	21953
128	3232	21827
129	3239	21681
130	3259	21619
131	3275	21537
132	3280	21383
133	3285	21231
134	3301	21155
135	3307	21010
136	3323	20936
137	3328	20793
138	3334	20652
139	3356	20615
140	3362	20486
141	3376	20404
